med10,sd10,bal75
"23,04353","0,103135","1774,45"
"23,095247","0,179946","1776,8"
"23,166933","0,261907","1779,15"
"23,258586","0,344382","1781,5"
"23,370208","0,423144","1783,851"
"23,501797","0,493915","1786,201"
"23,653355","0,551948","1788,551"
"23,82488","0,591455","1790,901"
"24,016374","0,604563","1793,251"
"24,193131","0,570068","1794,511"
"24,329952","0,495926","1794,511"
"24,426837","0,405978","1794,511"
"24,483786","0,327718","1794,511"
"24,500799","0,298073","1794,511"
"24,477876","0,337185","1794,511"
"24,415016","0,419325","1794,511"
"24,312221","0,50846","1794,511"
"24,169489","0,57829","1794,511"
"23,986821","0,604563","1794,511"
"23,803863","0,578707","1796,988"
"23,650872","0,518802","1802,517"
"23,52785","0,438389","1808,046"
"23,434796","0,349183","1813,575"
"23,37171","0,26522","1819,104"
"23,338592","0,208297","1824,633"
"23,335442","0,202598","1830,162"
"23,36226","0,23939","1835,691"
"23,419046","0,283153","1841,22"
"23,5058","0,302765","1846,749"
"23,60022","0,293935","1848,422"
"23,68464","0,272566","1845,047"
"23,75906","0,242394","1841,672"
"23,82348","0,206217","1838,297"
"23,8779","0,166361","1834,923"
"23,92232","0,12495","1831,548"
"23,95674","0,084107","1828,173"
"23,98116","0,046185","1824,798"
"23,99558","0,013978","1821,423"